Classifiers,SPE,AdaBoost,Bagging,RUSBoost,BalancedBag,SMOTE_Bag
SPE,0.0,2.0,9.0,10.0,30.0,24.0
AdaBoost,2.0,0.0,36.0,0.0,0.0,0.0
Bagging,9.0,36.0,0.0,0.0,0.0,3.0
RUSBoost,10.0,0.0,0.0,0.0,2.0,0.0
BalancedBag,30.0,0.0,0.0,2.0,0.0,0.0
SMOTE_Bag,24.0,0.0,3.0,0.0,0.0,0.0
